date,keyword,spend,impression,click,ctr
2025-12-02,간병비보험비교,9483.1,5,1,0.2
2025-12-02,간병비보험추천,3639.9,29,1,0.034482759
2025-12-02,간병인보험,88952.6,313,15,0.047923323
2025-12-02,간병인보험가격,16011.6,52,3,0.057692308
2025-12-02,간병인보험추천,14375.9,101,2,0.01980198
2025-12-02,건강보험,7927.7,170,4,0.023529412
2025-12-02,라이나,83794.7,132,16,0.121212121
2025-12-02,라이나더건강한치아보험,11113.3,16,2,0.125
2025-12-02,라이나보험,34177,30,8,0.266666667
2025-12-02,라이나생,7763.8,2,2,1
2025-12-02,라이나생명,918542.9,1243,184,0.148028962
2025-12-02,라이나생명간병인보험,1146.2,5,1,0.2
2025-12-02,라이나생명무배당the건강한치아보험,4224,1,1,1
2025-12-02,라이나생명보험,69951.2,58,11,0.189655172
2025-12-02,라이나생명암보험,41236.8,9,3,0.333333333
2025-12-02,라이나생명암진단비,2487.1,4,1,0.25
2025-12-02,라이나생명어린이치아보험,13193.4,19,4,0.210526316
2025-12-02,라이나생명첫날부터암보험,809.6,4,1,0.25
2025-12-02,라이나생명치과,22213.4,24,4,0.166666667
2025-12-02,라이나생명치과보험,11939.4,7,2,0.285714286
2025-12-02,라이나생명치아보험,86089.3,72,10,0.138888889
2025-12-02,라이나손해보험,226680.3,308,36,0.116883117
2025-12-02,라이나수술비보험,3102,26,1,0.038461538
2025-12-02,라이나실비보험,88927.3,23,4,0.173913043
2025-12-02,라이나암보험,20841.7,19,3,0.157894737
2025-12-02,라이나첫날부터암보험,1303.5,4,1,0.25
2025-12-02,라이나치과보험,78848,25,11,0.44
2025-12-02,라이나치아보험,598539.7,129,44,0.341085271
2025-12-02,라이나치아보험레진,8742.8,4,1,0.25
2025-12-02,라이나치아보험조회,6674.8,2,1,0.5
2025-12-02,메디컬보험,37031.5,147,5,0.034013605
2025-12-02,면책기간없는암보험,14313.2,14,1,0.071428571
2025-12-02,무배당the건강한치아보험,5241.5,16,1,0.0625
2025-12-02,무배당the건강한치아보험v,16758.5,49,3,0.06122449
2025-12-02,바로보장암보험,39454.8,19,3,0.157894737
2025-12-02,백내장보험,2057,12,1,0.083333333
2025-12-02,백내장수술보험,3672.9,30,1,0.033333333
2025-12-02,보험,18931,158,3,0.018987342
2025-12-02,보험가입문의,18113.7,47,1,0.021276596
2025-12-02,보험상담,52538.2,18,2,0.111111111
2025-12-02,수술보험,6295.3,143,2,0.013986014
2025-12-02,수술비보험추천,25884.1,45,3,0.066666667
2025-12-02,순수보장형암보험,30093.8,9,1,0.111111111
2025-12-02,암뇌심보험,93899.3,21,2,0.095238095
2025-12-02,암보험,1101001,1499,51,0.034022682
2025-12-02,암보험라이나,5185.4,11,1,0.090909091
2025-12-02,암보험료,11180.4,3,1,0.333333333
2025-12-02,암보험추천,72675.9,149,3,0.020134228
2025-12-02,어린이치아교정보험,61351.4,102,11,0.107843137
2025-12-02,어린이치아보험추천,19135.6,58,3,0.051724138
2025-12-02,여성보험,100834.8,48,2,0.041666667
2025-12-02,이빨보험,16621,4,1,0.25
2025-12-02,임플란트보험,41660.3,214,4,0.018691589
2025-12-02,입원보험,1977.8,22,1,0.045454545
2025-12-02,입원비보험,5132.6,94,1,0.010638298
2025-12-02,입원비보험추천,14551.9,14,1,0.071428571
2025-12-02,입원일당보험,17796.9,18,1,0.055555556
2025-12-02,첫날부터암보험,28504.3,18,4,0.222222222
2025-12-02,치과보험,219242.1,316,12,0.037974684
2025-12-02,치과보험비교,90268.2,9,3,0.333333333
2025-12-02,치과보험추천,34962.4,31,1,0.032258065
2025-12-02,치과실비보험,35807.2,21,3,0.142857143
2025-12-02,치아보험,564184.5,764,34,0.044502618
2025-12-02,치아보험가격,39540.6,117,3,0.025641026
2025-12-02,치아보험가입조건,63347.9,13,2,0.153846154
2025-12-02,치아보험임플란트보장,16270.1,4,1,0.25
2025-12-03,간병보험,34320,103,8,0.077669903
2025-12-03,간병보험비교사이트,5966.4,9,1,0.111111111
2025-12-03,간병비,6064.3,141,1,0.007092199
2025-12-03,간병비보험,47679.5,430,9,0.020930233
2025-12-03,간병비보험가격,7462.4,11,2,0.181818182
2025-12-03,간병비보험추천,8585.5,27,1,0.037037037
2025-12-03,간병인보험,72901.4,250,12,0.048
2025-12-03,간병인보험가격,65694.2,48,7,0.145833333
2025-12-03,간병인보험추천,16830,69,3,0.043478261
2025-12-03,간병인보험필요한가,3144.9,90,2,0.022222222
2025-12-03,건강보장,6070.9,2,1,0.5
2025-12-03,건강보험,9421.5,174,3,0.017241379
2025-12-03,다이렉트암보험,5305.3,21,1,0.047619048
2025-12-03,라니아생명,5014.9,2,1,0.5
2025-12-03,라이나,57191.2,99,11,0.111111111
2025-12-03,라이나간병보험,9234.5,4,3,0.75
2025-12-03,라이나더건강한치아보험,13325.4,29,3,0.103448276
2025-12-03,라이나무배당the건강한치아보험,3036,6,1,0.166666667
2025-12-03,라이나보험,12344.2,22,4,0.181818182
2025-12-03,라이나생,3609.1,4,1,0.25
2025-12-03,라이나생명,733848.5,1058,142,0.134215501
2025-12-03,라이나생명간병인보험,3001.9,2,1,0.5
2025-12-03,라이나생명보험,57444.2,51,11,0.215686275
2025-12-03,라이나생명암보험,32027.6,20,5,0.25
2025-12-03,라이나생명어린이치아보험,4307.6,12,1,0.083333333
2025-12-03,라이나생명치과보험,7756.1,2,1,0.5
2025-12-03,라이나생명치아보험,147803.7,73,17,0.232876712
2025-12-03,라이나손해보험,143554.4,261,29,0.111111111
2025-12-03,라이나수술비보험,5978.5,17,3,0.176470588
2025-12-03,라이나암보험,27736.5,34,6,0.176470588
2025-12-03,라이나첫날부터암보험,2820.4,6,1,0.166666667
2025-12-03,라이나치과보험,17734.2,10,3,0.3
2025-12-03,라이나치아보험,307734.9,164,31,0.18902439
2025-12-03,라이나치아보험홈페이지,12133,13,1,0.076923077
2025-12-03,메디칼건강보험,3275.8,15,1,0.066666667
2025-12-03,메디컬보험,52295.1,139,11,0.079136691
2025-12-03,무배당the건강한치아보험,11699.6,29,2,0.068965517
2025-12-03,무배당the건강한치아보험v,15031.5,61,3,0.049180328
2025-12-03,무배당the건강한치아보험v갱신형,4772.9,10,1,0.1
2025-12-03,무배당더건강한치아보험,1040.6,10,1,0.1
2025-12-03,백내장보험,10103.5,17,2,0.117647059
2025-12-03,백내장수술보험,3098.7,28,1,0.035714286
2025-12-03,보험,10848.2,114,3,0.026315789
2025-12-03,보험가입,17256.8,10,1,0.1
2025-12-03,보험가입문의,5407.6,17,1,0.058823529
2025-12-03,보험가입상담,31436.9,1,1,1
2025-12-03,보험상담,79175.8,22,3,0.136363636
2025-12-03,보험상담신청,29422.8,9,1,0.111111111
2025-12-03,비갱신암보험,7203.9,13,1,0.076923077
2025-12-03,수술비보험,75744.9,71,6,0.084507042
2025-12-03,수술비보험추천,11919.6,49,2,0.040816327
2025-12-03,암뇌심보험,36260.4,17,1,0.058823529
2025-12-03,암보험,626671.1,1393,27,0.019382627
2025-12-03,암보험가격비교,38850.9,5,2,0.4
2025-12-03,암보험비교,35990.9,31,1,0.032258065
2025-12-03,암보험추천,256525.5,290,11,0.037931034
2025-12-03,암치료비보험,1784.2,39,1,0.025641026
2025-12-03,어린이치아교정보험,38606.7,94,5,0.053191489
2025-12-03,어린이치아보험추천,5426.3,23,2,0.086956522
2025-12-03,여성보험,6559.3,37,1,0.027027027
2025-12-03,유병자암보험,10288.3,5,1,0.2
2025-12-03,임플란트보험,39906.9,391,3,0.007672634
2025-12-03,입원보험,3135,34,1,0.029411765
2025-12-03,입원비보험,22837.1,94,3,0.031914894
2025-12-03,입원일당보험,10873.5,11,1,0.090909091
2025-12-03,종합보험,17552.7,2,1,0.5
2025-12-03,첫날부터암보험,40384.3,32,5,0.15625
2025-12-03,치과보험,380015.9,444,16,0.036036036
2025-12-03,치아보험,809325,1145,49,0.04279476
2025-12-03,치아보험가격,65138.7,154,8,0.051948052
2025-12-03,치아보험가입조건,7103.8,4,1,0.25
2025-12-03,치아보험면책기간,3646.5,11,1,0.090909091
2025-12-03,치아보험임플란트,372.9,41,1,0.024390244
2025-12-03,치아보험추천,18558.1,38,2,0.052631579
2025-12-04,80세보험가입,2006.4,8,1,0.125
2025-12-04,간병보험,18051,121,4,0.033057851
2025-12-04,간병보험료,4655.2,4,1,0.25
2025-12-04,간병비,5801.4,109,1,0.009174312
2025-12-04,간병비보험,146512.3,385,20,0.051948052
2025-12-04,간병비보험가격,14672.9,11,4,0.363636364
2025-12-04,간병인보험,57856.7,271,10,0.036900369
2025-12-04,간병인보험가격,36307.7,56,6,0.107142857
2025-12-04,간병인보험추천,4561.7,57,1,0.01754386
2025-12-04,갑상선암보험,2638.9,11,1,0.090909091
2025-12-04,건강보험,1837,155,1,0.006451613
2025-12-04,라이나,65857,128,11,0.0859375
2025-12-04,라이나간병보험,9516.1,8,3,0.375
2025-12-04,라이나간병인보험,3353.9,6,1,0.166666667
2025-12-04,라이나더건강한치아보험,28262.3,40,6,0.15
2025-12-04,라이나보험,25954.5,35,7,0.2
2025-12-04,라이나생명,771870,1083,159,0.146814404
2025-12-04,라이나생명간병인보험,3696,4,1,0.25
2025-12-04,라이나생명보험,143127.6,67,16,0.23880597
2025-12-04,라이나생명암보험,33038.5,11,3,0.272727273
2025-12-04,라이나생명어린이치아보험,9368.7,5,2,0.4
2025-12-04,라이나생명첫날부터암보험,3070.1,6,1,0.166666667
2025-12-04,라이나생명치과,14459.5,35,4,0.114285714
2025-12-04,라이나생명치과보험,272.8,3,1,0.333333333
2025-12-04,라이나생명치아보험,65451.1,66,6,0.090909091
2025-12-04,라이나손해보험,161652.7,274,33,0.120437956
2025-12-04,라이나수술비보험,8086.1,12,2,0.166666667
2025-12-04,라이나암보험,45277.1,110,5,0.045454545
2025-12-04,라이나첫날부터암보험,10143.1,8,1,0.125
2025-12-04,라이나치과,3935.8,4,2,0.5
2025-12-04,라이나치과보험,60060,31,7,0.225806452
2025-12-04,라이나치아보험,418487.3,188,36,0.191489362
2025-12-04,라이나치아보험홈페이지,14628.9,5,2,0.4
2025-12-04,메디컬보험,9351.1,112,2,0.017857143
2025-12-04,면책기간없는암보험,24347.4,9,3,0.333333333
2025-12-04,무배당the간편한건강보험,3062.4,4,1,0.25
2025-12-04,무배당the건강한치아보험,11303.6,24,1,0.041666667
2025-12-04,무배당the건강한치아보험v,16216.2,36,4,0.111111111
2025-12-04,무배당the건강한치아보험갱신형,1929.4,2,1,0.5
2025-12-04,바로보장암보험,17259,7,1,0.142857143
2025-12-04,백내장보험,1840.3,15,1,0.066666667
2025-12-04,백내장수술보험,3943.5,20,1,0.05
2025-12-04,보험,6276.6,142,1,0.007042254
2025-12-04,보험가입문의,3659.7,61,1,0.016393443
2025-12-04,보험상담신청,7333.7,5,1,0.2
2025-12-04,비갱신암보험,11837.1,13,1,0.076923077
2025-12-04,수술보험,8101.5,108,4,0.037037037
2025-12-04,수술비보험,68039.4,65,2,0.030769231
2025-12-04,수술비보험추천,28646.2,45,3,0.066666667
2025-12-04,실비암보험,32138.7,70,1,0.014285714
2025-12-04,암보험,551659.9,1484,32,0.021563342
2025-12-04,암보험라이나,2038.3,23,1,0.043478261
2025-12-04,암보험설계,25868.7,23,1,0.043478261
2025-12-04,암보험추천,149967.4,109,5,0.04587156
2025-12-04,암진단금보험,58061.3,3,2,0.666666667
2025-12-04,암진단보험,21466.5,7,1,0.142857143
2025-12-04,암진단비보험,15902.7,26,1,0.038461538
2025-12-04,어린이치아교정보험,96679,133,18,0.135338346
2025-12-04,여성보험,3478.2,40,1,0.025
2025-12-04,인터넷암보험,38929,7,1,0.142857143
2025-12-04,임플란트보험,70519.9,332,10,0.030120482
2025-12-04,입원비보험,14418.8,114,2,0.01754386
2025-12-04,입원일당보험,6699,19,1,0.052631579
2025-12-04,첫날부터암보험,23410.2,19,2,0.105263158
2025-12-04,치과보험,172524,432,8,0.018518519
2025-12-04,치과보험가격,6850.8,18,1,0.055555556
2025-12-04,치과실비보험,81624.4,39,4,0.102564103
2025-12-04,치아보험,665306.4,1098,34,0.030965392
2025-12-04,치아보험가격,46685.1,176,4,0.022727273
2025-12-04,치아보험가입조건,4450.6,11,1,0.090909091
2025-12-04,치아보험라이나,38116.1,4,2,0.5
2025-12-04,치아보험임플란트,4142.6,57,1,0.01754386
2025-12-04,치아보험추천,92292.2,27,2,0.074074074
2025-12-04,홈쇼핑암보험,15302.1,3,1,0.333333333
2025-12-05,간병보험,24966.7,90,5,0.055555556
2025-12-05,간병보험비교사이트,3753.2,16,1,0.0625
2025-12-05,간병비보험,55898.7,299,10,0.033444816
2025-12-05,간병비보험가격,3219.7,14,1,0.071428571
2025-12-05,간병인보험,58077.8,215,10,0.046511628
2025-12-05,간병인보험가격,12037.3,27,2,0.074074074
2025-12-05,간병인보험추천,5551.7,60,1,0.016666667
2025-12-05,건강보험,29795.7,152,9,0.059210526
2025-12-05,다이렉트암보험,8897.9,19,2,0.105263158
2025-12-05,대장암보험,870.1,11,1,0.090909091
2025-12-05,라이나,81744.3,129,18,0.139534884
2025-12-05,라이나간병보험,4361.5,4,3,0.75
2025-12-05,라이나더건강한치아보험,16662.8,37,4,0.108108108
2025-12-05,라이나무배당치아보험,4469.3,4,1,0.25
2025-12-05,라이나보험,18420.6,39,5,0.128205128
2025-12-05,라이나생명,709925.7,996,150,0.15060241
2025-12-05,라이나생명보험,66900.9,53,16,0.301886792
2025-12-05,라이나생명암보험,25198.8,19,5,0.263157895
2025-12-05,라이나생명첫날부터암보험,5470.3,6,3,0.5
2025-12-05,라이나생명치아보험,95474.5,95,17,0.178947368
2025-12-05,라이나생명치아보험료,6866.2,6,3,0.5
2025-12-05,라이나손해보험,106168.7,263,24,0.091254753
2025-12-05,라이나수술비보험,2167,12,3,0.25
2025-12-05,라이나암보험,27261.3,32,2,0.0625
2025-12-05,라이나첫날부터암보험,856.9,4,1,0.25
2025-12-05,라이나치과,6872.8,2,1,0.5
2025-12-05,라이나치과보험,31915.4,33,6,0.181818182
2025-12-05,라이나치아,1945.9,2,1,0.5
2025-12-05,라이나치아보험,285408.2,147,30,0.204081633
2025-12-05,라이나치아보험약관,1448.7,2,1,0.5
2025-12-05,라이나치아보험혜택,18301.8,10,1,0.1
2025-12-05,라이나퍼펙트케어암보험,3034.9,3,1,0.333333333
2025-12-05,메디컬보험,16975.2,113,4,0.03539823
2025-12-05,무배당the건강한치아보험v,47538.7,52,3,0.057692308
2025-12-05,무배당the건강한치아보험갱신형,10883.4,9,3,0.333333333
2025-12-05,무배당더건강한치아보험,1645.6,6,1,0.166666667
2025-12-05,바로보장암보험,35886.4,7,2,0.285714286
2025-12-05,보험,4754.2,152,1,0.006578947
2025-12-05,보험가입상담,34554.3,2,1,0.5
2025-12-05,보험상담,26618.9,40,1,0.025
2025-12-05,보험상담신청,46970,7,2,0.285714286
2025-12-05,수술보험,7984.9,103,1,0.009708738
2025-12-05,수술비보험,38341.6,84,1,0.011904762
2025-12-05,실비암보험,62668.1,52,3,0.057692308
2025-12-05,암보험,633440.5,1365,34,0.024908425
2025-12-05,암보험비교,7768.2,27,1,0.037037037
2025-12-05,암보험진단금,4785,2,1,0.5
2025-12-05,암보험추천,89203.4,95,4,0.042105263
2025-12-05,암진단금보험,19474.4,3,2,0.666666667
2025-12-05,암진단보험,16082,9,1,0.111111111
2025-12-05,암진단비1억,16662.8,8,1,0.125
2025-12-05,어린이치과보험,7794.6,2,1,0.5
2025-12-05,유방암보험,14558.5,19,1,0.052631579
2025-12-05,유병자암보험,6890.4,4,1,0.25
2025-12-05,임플란트보험,31996.8,417,5,0.011990408
2025-12-05,입원보험,7296.3,17,1,0.058823529
2025-12-05,입원비보험,14051.4,99,2,0.02020202
2025-12-05,첫날부터암보험,13916.1,10,2,0.2
2025-12-05,첫날부터입원비보험,1930.5,3,1,0.333333333
2025-12-05,충치보험,9969.3,17,1,0.058823529
2025-12-05,치과보험,163648.1,530,11,0.020754717
2025-12-05,치과보험비교,58712.5,20,3,0.15
2025-12-05,치과실비보험,21594.1,47,1,0.021276596
2025-12-05,치아교정보험,2721.4,29,1,0.034482759
2025-12-05,치아보험,685841.2,2427,42,0.017305315
2025-12-05,치아보험가격,33595.1,198,5,0.025252525
2025-12-05,치아보험가입조건,7262.2,17,1,0.058823529
2025-12-05,치아보험료,7641.7,5,1,0.2
2025-12-05,치아보험비교,28374.5,15,1,0.066666667
2025-12-05,치아보험임플란트,2140.6,28,1,0.035714286
2025-12-05,치아보험추천,18617.5,47,2,0.042553191
2025-12-06,20대치아보험,10564.4,9,1,0.111111111
2025-12-06,간병보험,26166.8,109,4,0.036697248
2025-12-06,간병비,1301.3,86,1,0.011627907
2025-12-06,간병비보험,52462.3,281,10,0.035587189
2025-12-06,간병비보험추천,7662.6,13,1,0.076923077
2025-12-06,간병인보험,87474.2,204,15,0.073529412
2025-12-06,간병인보험가격,2635.6,13,1,0.076923077
2025-12-06,건강보험,24879.8,182,3,0.016483516
2025-12-06,다이렉트건강보험,7405.2,3,2,0.666666667
2025-12-06,다이렉트암보험,10586.4,10,1,0.1
2025-12-06,당뇨진단비,7264.4,2,1,0.5
2025-12-06,라이나,29931,60,4,0.066666667
2025-12-06,라이나간병인보험,773.3,4,1,0.25
2025-12-06,라이나더건강한치아보험,2511.3,17,1,0.058823529
2025-12-06,라이나보험,12249.6,18,3,0.166666667
2025-12-06,라이나생명,283679,427,48,0.112412178
2025-12-06,라이나생명간병인보험,2120.8,1,1,1
2025-12-06,라이나생명암보험,4162.4,10,1,0.1
2025-12-06,라이나생명치과,2995.3,16,1,0.0625
2025-12-06,라이나생명치아보험,73903.5,50,6,0.12
2025-12-06,라이나손해보험,19721.9,124,7,0.056451613
2025-12-06,라이나손해보험치아,9896.7,2,1,0.5
2025-12-06,라이나수술비보험,4733.3,8,1,0.125
2025-12-06,라이나암보험,25121.8,39,3,0.076923077
2025-12-06,라이나첫날부터암보험,4486.9,2,1,0.5
2025-12-06,라이나치과보험,64264.2,20,6,0.3
2025-12-06,라이나치아보험,262314.8,85,17,0.2
2025-12-06,라이나치아보험혜택,5648.5,8,1,0.125
2025-12-06,메디컬보험,7277.6,96,2,0.020833333
2025-12-06,무배당the건강한치아보험,8217,5,2,0.4
2025-12-06,무배당the건강한치아보험v,2466.2,18,1,0.055555556
2025-12-06,바로보장암보험,48620,4,2,0.5
2025-12-06,보험,71853.1,195,2,0.01025641
2025-12-06,보험가입문의,4037,52,1,0.019230769
2025-12-06,보험상담,109255.3,23,4,0.173913043
2025-12-06,수술보험,13908.4,117,4,0.034188034
2025-12-06,수술비보험,13202.2,44,4,0.090909091
2025-12-06,수술비보험추천,5175.5,27,1,0.037037037
2025-12-06,순수보장형암보험,19800,6,1,0.166666667
2025-12-06,암보험,294389.7,1029,18,0.017492711
2025-12-06,암보험가격,28106.1,6,1,0.166666667
2025-12-06,암보험추천,118662.5,83,3,0.036144578
2025-12-06,암치료비보험,6089.6,23,1,0.043478261
2025-12-06,어린이치아보험,1900.8,11,1,0.090909091
2025-12-06,여자암보험,27333.9,2,1,0.5
2025-12-06,임플란트보험,79428.8,417,14,0.033573141
2025-12-06,입원비보험,31267.5,97,5,0.051546392
2025-12-06,충치보험,15006.2,24,1,0.041666667
2025-12-06,치과보험,248915.7,460,16,0.034782609
2025-12-06,치아보험,332621.3,730,20,0.02739726
2025-12-06,치아보험라이나,34227.6,2,1,0.5
2025-12-06,치아보험비교,45020.8,15,1,0.066666667
2025-12-06,치아보험중복보장,3638.8,5,1,0.2
2025-12-06,치아보험추천,100098.9,50,4,0.08
2025-12-07,50대암보험추천,22640.2,5,1,0.2
2025-12-07,간병보험,74550.3,108,8,0.074074074
2025-12-07,간병비,1951.4,71,1,0.014084507
2025-12-07,간병비보험,65716.2,294,16,0.054421769
2025-12-07,간병비보험가격,8206,7,2,0.285714286
2025-12-07,간병비보험추천,4017.2,11,1,0.090909091
2025-12-07,간병인보험,123900.7,196,19,0.096938776
2025-12-07,간병인보험가격,6631.9,19,2,0.105263158
2025-12-07,간병인보험추천,4862,28,1,0.035714286
2025-12-07,간편건강보험,2380.4,3,1,0.333333333
2025-12-07,건강보험,12634.6,188,3,0.015957447
2025-12-07,당뇨보험,10428,25,1,0.04
2025-12-07,라이나,42885.7,77,6,0.077922078
2025-12-07,라이나간병인보험,2547.6,2,1,0.5
2025-12-07,라이나더건강한치아보험,1333.2,12,1,0.083333333
2025-12-07,라이나무배당치아보험,14999.6,13,1,0.076923077
2025-12-07,라이나보험,13659.8,8,2,0.25
2025-12-07,라이나생명,247762.9,355,47,0.132394366
2025-12-07,라이나생명보험,29266.6,21,7,0.333333333
2025-12-07,라이나생명치과,8594.3,11,2,0.181818182
2025-12-07,라이나생명치아보험,24094.4,20,2,0.1
2025-12-07,라이나손해보험,57508,73,13,0.178082192
2025-12-07,라이나손해보험치아,7400.8,4,1,0.25
2025-12-07,라이나암보험,5285.5,24,1,0.041666667
2025-12-07,라이나첫날부터암보험,8978.2,5,2,0.4
2025-12-07,라이나치과보험,22520.3,5,1,0.2
2025-12-07,라이나치아보험,178115.3,64,12,0.1875
2025-12-07,라이나치아보험보장,7797.9,1,1,1
2025-12-07,라이너,12103.3,25,1,0.04
2025-12-07,메디컬보험,44872.3,110,4,0.036363636
2025-12-07,무배당the건강한치아보험,7673.6,16,2,0.125
2025-12-07,무배당the건강한치아보험v,25230.7,17,4,0.235294118
2025-12-07,바로보장암보험,30257.7,6,3,0.5
2025-12-07,보험,4176.7,166,1,0.006024096
2025-12-07,보험가입문의,2912.8,32,1,0.03125
2025-12-07,보험상담,24015.2,12,1,0.083333333
2025-12-07,보험상담신청,17293.1,5,1,0.2
2025-12-07,시니어암보험,20390.7,13,3,0.230769231
2025-12-07,아이치아보험,7219.3,3,1,0.333333333
2025-12-07,암보험,463855.7,1007,19,0.018867925
2025-12-07,암보험추천,110,62,1,0.016129032
2025-12-07,임플란트보험,32286.1,324,6,0.018518519
2025-12-07,입원비보험,1089,81,1,0.012345679
2025-12-07,입원일당보험,7139,19,2,0.105263158
2025-12-07,저렴한암보험,38315.2,3,1,0.333333333
2025-12-07,치과보험,140501.9,317,10,0.031545741
2025-12-07,치과보험임플란트,3727.9,21,1,0.047619048
2025-12-07,치과실비보험,34463,60,1,0.016666667
2025-12-07,치아보험,371591,556,16,0.028776978
2025-12-07,치아보험가격,19633.9,113,2,0.017699115
2025-12-07,치아보험임플란트,1204.5,28,1,0.035714286
2025-12-07,치아보험조회,12168.2,2,1,0.5
2025-12-07,치아보험추천,31556.8,26,2,0.076923077
2025-12-07,크라운치아보험,17529.6,4,1,0.25
2025-12-08,20대치아보험,34969,13,4,0.307692308
2025-12-08,60대간병인보험,12608.2,3,1,0.333333333
2025-12-08,80세보험가입,8519.5,17,2,0.117647059
2025-12-08,간병보험,44085.8,115,5,0.043478261
2025-12-08,간병보험추천,6444.9,11,1,0.090909091
